"RucProveedor","CodProducto","Producto","UnidaMedidaCompra","CostoCaja"
"20100035121","990820","MACA AVENA 3 OSITOS 12X300GR","BOLSA",24.924000
"20100035121","991113","POMAROLA SALSA FUNGHI 12X290 GR.","CAJA",26.790769
"20100055237","TX4504","GALLE. RELLENA CHOCOLATE 34GR 8PQT 5PCK","CAJA",11.916414
"20100055237","TX8404","DET. MARSELLA PUREZA NATURAL 4KG 4BOL","NUMERO DE PAQUETES",110.106000
"20100085225","NEW529976","NINET TLLA HUM RECIEN NACIDO BOLX80UND","UNIDAD",5.498250
"20100085225","NEW538368","NINET PAÑAL (ETAPA 1) BOLX72UND, T/M","UNIDAD",38.884860
"20100127165","P&G-VICK-01","V VAPORUB MENTOL 12GRX6X60IT PE","CAJA",1085.650000
"20100127165","P&G-GIL-02","GILLETTE AP CLEARGEL ARTIC ICE 113GRX12IT","CAJA",219.380000
"20100164010","MDLZ-7622","MAZAMORRA VAINILLA EM 48X140G","CAJA",127.390800
"20100164010","MDLZ-OEO","OREO ROLLO DARK 30X108G PE","CAJA",54.350918
"20100190797","GLO-1001137","GLORIA LECHE DESLACTOSADA 175GRX48U","CAJA",87.190157
"20100190797","GLO-1004793","GLORIA BEBIDA DE MANGO 500MLX4-6PK TTS","CAJA",44.329429
"20100617332","RC-22KG-01","RICOCAN SB POLLO Y VEGETALES RZ.PQ AD 22KG","UNIDAD",128.094428
"20100617332","RC-1KG-02","RICOCAN ORIGINAL SB HIGADO T.RZ AD 1KG","UNIDAD",8.071672
"20100919002","COL-1750","CR Den Colgate Total 12 Carbon 75ml","CAJA",565.267200
"20100919002","COL-2770","Suav SUAVITEL Compl Anochecer 80ml","CAJA",134.236800
"20163901197","PALM-900","ACEITE PALMEROLA VEGETAL 900CC 12BOT 1CJA","CAJA",62.750000
"20163901197","POP-190","JABON POPEYE BEBE 40UND 190GR","CAJA",61.570000
"20255172884","NOS-120104","TOALLA H. INVISIBLE ALAS 12X10","CAJA",50.550000
"20255172884","NOS-120678","PROT NOSOTRAS DIARIOS NORMAL 24X15","CAJA",57.770000
"20393864886","TOT-0200","J NARANJA TOTTUS NATURAL 1L","UNIDAD",5.600000
"20393864886","TOT-0775","YG FR CH VAINILLA 900G","UNIDAD",10.650000
"20493654463","SCO-1228","ESPONJA SCOTCH BRITE MULTIUSO 2 EN 1","UNIDAD",4.900000
"20493654463","GLA-2443","AMBIENTADOR GLADE PARAISO AZUL X 400ML","UNIDAD",11.500000
"20514584789","GLI-1073","Glina. Chin Chin AZUL 24dpx24ux16g","CAJA",318.470000
"20514584789","GRA-1041","Pasab. GRANUTS manisaladito 16Dpx180g PE","CAJA",74.750000
"20516872307","SCO-953","XJ SCORE ENERGY DRINK CITRUS 24X473ML","UNIDAD",2.660000
"20516872307","FOU-498","XB FOUR LOKO BLUE 473ML (24X01)","UNIDAD",7.920000
"20518592786","BOLS-21","BOLSAS PEAD TRANSPARENTE 21X24X0.6MPLG","MILLAR",52.156000
"20518592786","BOLS-ANT","ANTICIPO MERCADERIA BOLSAS PEAD","SERVICIO",652.000000
"20528318143","FAB-002","LAPICERO F.CASTELL NEGRO 035*50und","UNIDAD",0.500000
"20528318143","LUX-024","CUADERNO LUXOR DISEÑO RAYADO 70HJ","UNIDAD",3.200000
"20100190797","1001135",GLORIA LECHE REC. ENTERA 170GRX48U,CAJA,87.190157
"20100127165","17500435011195",GILLETTE CLINICAL GEL  COOLWAVE 45GX12IT,CAJA,198.060000